date,open,close,high,low,volumefrom,volumeto
2024-01-07,2241.73,2222.73,2258.2,2207.13,164529.0,368349920.27
2024-01-08,2222.73,2332.66,2360.37,2168.41,321740.49,729642394.88
2024-01-09,2332.66,2344.97,2373.21,2231.3,407628.13,935753315.62
2024-01-10,2344.97,2584.69,2643.46,2341.51,759673.12,1859360455.9
2024-01-11,2584.69,2618.71,2690.17,2567.23,565520.51,1478952412.93
2024-01-12,2618.71,2522.11,2717.2,2455.87,608482.23,1587803065.78
2024-01-13,2522.11,2577.89,2589.5,2497.1,309808.72,789992067.14
2024-01-14,2577.89,2470.94,2578.65,2468.6,219094.29,554407683.57
2024-01-15,2470.94,2510.12,2551.4,2469.25,211497.41,532405002.36
2024-01-16,2510.12,2586.91,2613.41,2498.62,260620.37,665381293.48
2024-01-17,2586.91,2528.09,2592.23,2505.29,214487.05,546139971.58
2024-01-18,2528.09,2468.6,2546.7,2424.13,300049.73,747913574.26
2024-01-19,2468.6,2490.05,2501.85,2412.93,301556.02,743840311.23
2024-01-20,2490.05,2470.31,2490.05,2452.6,114757.82,283565628.23
2024-01-21,2470.31,2455.35,2480.59,2451.91,84186.67,207909134.54
2024-01-22,2455.35,2311.54,2464.27,2302.07,382384.29,908763742.8
2024-01-23,2311.54,2241.32,2349.2,2165.34,476808.58,1064700522.86
2024-01-24,2241.32,2234.13,2262.69,2195.63,271737.21,605305544.17
2024-01-25,2234.13,2217.5,2241.03,2170.05,242755.56,536955642.14
2024-01-26,2217.5,2267.33,2281.01,2194.89,281209.33,631732275.0
2024-01-27,2267.33,2267.97,2282.56,2251.19,121435.42,275424730.41
2024-01-28,2267.97,2256.6,2307.73,2239.84,165618.01,376754792.96
2024-01-29,2256.6,2317.51,2322.48,2233.69,215146.92,490260629.87
2024-01-30,2317.51,2343.1,2391.57,2297.16,279970.77,655413615.82
2024-01-31,2343.1,2281.77,2351.47,2263.16,268083.72,621018581.0
2024-02-01,2281.77,2303.34,2310.4,2239.78,217264.4,495660912.66
2024-02-02,2303.34,2307.85,2323.08,2280.8,191680.68,441562111.31
2024-02-03,2307.85,2295.87,2328.23,2292.31,96227.34,222308235.56
2024-02-04,2295.87,2288.68,2309.1,2267.59,142393.17,326706078.21
2024-02-05,2288.68,2299.16,2335.71,2268.15,198435.62,456661905.21
2024-02-06,2299.16,2372.2,2392.04,2296.27,306229.12,718267813.82
2024-02-07,2372.2,2424.33,2473.23,2353.16,272427.16,652240112.9
2024-02-08,2424.33,2419.79,2462.14,2411.45,348490.6,846989854.44
2024-02-09,2419.79,2487.62,2523.95,2419.06,403815.63,1002058339.27
2024-02-10,2487.62,2500.87,2517.14,2473.58,150601.42,376068111.04
2024-02-11,2500.87,2507.91,2540.37,2494.72,167579.98,421659247.33
2024-02-12,2507.91,2660.56,2666.3,2472.79,323858.15,833389992.06
2024-02-13,2660.56,2641.6,2686.7,2591.27,387685.63,1025294105.03
2024-02-14,2641.6,2777.51,2788.42,2619.8,359500.08,980680072.11
2024-02-15,2777.51,2825.35,2867.69,2762.64,397615.65,1118227404.91
