date,open,close,high,low,volumefrom,volumeto
2024-07-19,71.63,73.46,74.15,69.67,245285.54,17657871.74
2024-07-20,73.46,73.06,73.93,72.38,136192.22,9974798.94
2024-07-21,73.06,74.0,74.14,71.35,179369.03,13120970.48
2024-07-22,74.11,71.35,74.8,71.08,2018331.48,144010982.15
2024-07-23,71.29,72.92,73.27,70.49,226503.27,16312111.02
2024-07-24,72.92,71.29,74.35,70.79,163105.07,11836244.01
2024-07-25,71.29,68.81,71.67,67.31,305570.92,21080154.68
2024-07-26,68.81,71.33,71.68,68.76,184312.4,13062382.14
2024-07-27,71.33,71.33,72.34,70.33,147969.05,10587270.31
2024-07-28,71.33,71.09,71.76,70.35,133149.97,9478709.27
2024-07-29,71.09,73.7,76.74,71.05,439012.55,32741380.73
2024-07-30,73.7,71.68,74.53,71.11,218111.82,15906693.28
2024-07-31,71.68,70.14,72.89,69.89,235764.18,16851299.82
2024-08-01,70.14,69.53,71.41,65.94,308405.15,21264706.81
2024-08-02,69.53,64.99,69.89,63.95,324747.54,21697438.76
2024-08-03,64.99,64.63,66.32,62.56,270867.68,17460062.61
2024-08-04,64.63,62.44,65.2,60.4,253363.22,16038585.68
2024-08-05,62.44,56.1,62.54,49.95,1269712.55,69522815.77
2024-08-06,56.1,58.3,59.34,56.03,384396.44,22371305.63
2024-08-07,58.3,55.97,59.54,55.37,399793.2,22927540.81
2024-08-08,55.97,61.18,61.98,55.23,309097.34,18264848.18
2024-08-09,61.18,60.73,61.26,59.39,265292.91,16010312.57
2024-08-10,60.73,61.18,61.55,60.17,177116.4,10779008.73
2024-08-11,61.18,59.75,62.36,58.84,234312.06,14262875.66
2024-08-12,59.75,61.51,62.06,59.23,289106.97,17636427.79
2024-08-13,61.51,63.46,63.52,61.15,247726.27,15468547.57
2024-08-14,63.46,64.08,64.71,62.63,284191.42,18165419.94
2024-08-15,64.08,65.35,66.9,63.62,490057.56,31886248.83
2024-08-16,65.35,66.53,66.81,64.37,348306.84,22954159.73
2024-08-17,66.53,67.61,67.88,65.93,192913.27,12939454.45
2024-08-18,67.61,66.37,68.15,66.13,177300.22,11899145.95
2024-08-19,66.37,66.35,67.45,66.03,246210.32,16399002.53
2024-08-20,66.35,64.42,67.34,63.23,257708.38,16839489.48
2024-08-21,64.42,64.3,64.79,62.06,291752.09,18523551.99
2024-08-22,64.3,63.76,64.39,62.55,252257.89,16008580.28
2024-08-23,63.76,66.17,66.9,63.52,199480.65,12934671.52
2024-08-24,66.17,66.62,68.02,65.49,168853.61,11273813.75
2024-08-25,66.62,64.88,66.91,64.48,148924.4,9753963.74
2024-08-26,64.88,63.05,65.12,63.03,184318.75,11807771.64
2024-08-27,63.05,60.43,63.99,59.11,243331.23,15155860.33
2024-08-28,60.43,61.82,62.37,59.44,284509.05,17361094.93
2024-08-29,61.82,62.49,63.96,61.16,246189.78,15403598.27
2024-08-30,62.49,64.92,65.43,61.62,350246.1,22226534.36
2024-08-31,64.92,64.98,66.46,64.89,248108.78,16254902.65
2024-09-01,64.98,63.58,65.13,62.91,138741.05,8920326.86
2024-09-02,63.58,65.37,65.74,62.62,195828.23,12577677.08
2024-09-03,65.37,64.36,66.35,64.32,202388.02,13233583.91
2024-09-04,64.36,65.43,66.23,62.11,257184.37,16739360.1
2024-09-05,65.43,66.07,68.52,64.46,411718.6,27209264.2
2024-09-06,66.07,63.04,66.81,61.31,318519.73,20533844.36
2024-09-07,63.04,62.07,64.14,61.68,213206.26,13439327.78
2024-09-08,62.07,60.96,62.3,59.95,243814.61,14944373.99
2024-09-09,60.96,61.43,61.77,59.71,339418.1,20619273.68
2024-09-10,61.43,61.55,61.77,60.36,226236.94,13812232.54
2024-09-11,61.55,62.21,62.44,60.14,216891.82,13331946.04
2024-09-12,62.21,62.87,63.15,61.53,162164.51,10106705.41
2024-09-13,62.87,64.98,65.05,62.45,180380.16,11530848.56
2024-09-14,64.98,65.97,66.78,64.93,163575.0,10780981.13
2024-09-15,65.97,63.3,66.36,62.97,135373.28,8763820.02
2024-09-16,63.3,62.62,63.74,62.09,133742.22,8397386.27
2024-09-17,62.62,63.78,64.04,61.93,182054.22,11482416.01
2024-09-18,63.78,64.84,64.85,62.43,174413.77,11115516.18
2024-09-19,64.84,65.42,66.09,64.73,197790.82,12933094.37
2024-09-20,65.42,65.33,66.44,64.33,202688.73,13258745.12
2024-09-21,65.33,66.87,67.14,64.85,138124.73,9134091.06
2024-09-22,66.87,68.72,68.8,66.5,180941.56,12199433.53
2024-09-23,68.72,66.96,69.31,66.65,204662.72,13866969.7
